@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
138,'2018/02/15 22:47:19:123',1,0,0,0.09,1,0.14
139,'2018/02/15 22:47:19:140',1,0,0,0.09,1,0.14
140,'2018/02/15 22:47:19:157',1,0,0,0.09,1,0.14
141,'2018/02/15 22:47:19:173',1,0,0,0.09,1,0.14
142,'2018/02/15 22:47:19:190',1,0,0,0.09,1,0.14
143,'2018/02/15 22:47:19:205',1,0,0,0.09,1,0.14
144,'2018/02/15 22:47:19:224',1,0,0,0.09,1,0.14
145,'2018/02/15 22:47:19:239',1,0,0,0.09,1,0.14
146,'2018/02/15 22:47:19:256',1,0,0,0.09,1,0.14
147,'2018/02/15 22:47:19:273',1,0,0,0.09,1,0.14
148,'2018/02/15 22:47:19:290',1,0,0,0.09,1,0.14
149,'2018/02/15 22:47:19:305',1,0,0,0.09,1,0.14
150,'2018/02/15 22:47:19:322',1,0,0,0.09,1,0.14
151,'2018/02/15 22:47:19:337',1,0,0,0.09,1,0.14
152,'2018/02/15 22:47:19:354',1,2,2,0.09,1,0.14
153,'2018/02/15 22:47:19:371',1,1,1,0.09,1,0.14
154,'2018/02/15 22:47:19:388',1,0,0,0.09,1,0.14
155,'2018/02/15 22:47:19:404',1,2,2,0.09,1,0.14
156,'2018/02/15 22:47:19:421',1,2,2,0.09,1,0.14
157,'2018/02/15 22:47:19:437',1,1,1,0.09,1,0.14
158,'2018/02/15 22:47:19:456',1,2,2,0.09,1,0.14
159,'2018/02/15 22:47:19:471',1,2,2,0.09,1,0.14
160,'2018/02/15 22:47:19:488',1,1,1,0.09,1,0.14
161,'2018/02/15 22:47:19:503',1,1,1,0.09,1,0.14
162,'2018/02/15 22:47:19:522',1,2,2,0.09,1,0.14
163,'2018/02/15 22:47:19:537',1,2,2,0.09,1,0.14
164,'2018/02/15 22:47:19:554',1,2,2,0.09,1,0.14
165,'2018/02/15 22:47:19:570',1,3,3,0.09,1,0.14
166,'2018/02/15 22:47:19:588',1,3,3,0.09,1,0.14
167,'2018/02/15 22:47:19:605',1,2,2,0.09,1,0.14
168,'2018/02/15 22:47:19:637',1,2,2,0.09,1,0.14
169,'2018/02/15 22:47:19:654',1,5,5,0.09,1,0.14
170,'2018/02/15 22:47:19:671',1,2,2,0.09,1,0.14
171,'2018/02/15 22:47:19:688',1,1,1,0.09,1,0.14
172,'2018/02/15 22:47:19:705',1,2,2,0.09,1,0.14
173,'2018/02/15 22:47:19:723',1,4,4,0.09,1,0.14
174,'2018/02/15 22:47:19:738',1,2,2,0.09,1,0.14
175,'2018/02/15 22:47:19:757',1,2,2,0.09,1,0.14
176,'2018/02/15 22:47:19:772',1,4,4,0.09,1,0.14
177,'2018/02/15 22:47:19:790',1,1,1,0.09,1,0.14
178,'2018/02/15 22:47:19:806',1,2,2,0.09,1,0.14
179,'2018/02/15 22:47:19:838',1,3,3,0.09,1,0.14
180,'2018/02/15 22:47:19:855',1,6,6,0.09,1,0.14
181,'2018/02/15 22:47:19:872',1,5,5,0.09,1,0.14
182,'2018/02/15 22:47:19:889',1,1,1,0.09,1,0.14
183,'2018/02/15 22:47:19:906',1,2,2,0.09,1,0.14
184,'2018/02/15 22:47:19:922',1,2,2,0.09,1,0.14
185,'2018/02/15 22:47:19:937',1,2,2,0.09,1,0.14
186,'2018/02/15 22:47:19:954',1,2,2,0.09,1,0.14
187,'2018/02/15 22:47:19:971',1,1,1,0.09,1,0.14
188,'2018/02/15 22:47:19:989',1,3,3,0.09,1,0.14
189,'2018/02/15 22:47:20:005',1,2,2,0.09,1,0.14
190,'2018/02/15 22:47:20:022',1,3,3,0.09,1,0.14
191,'2018/02/15 22:47:20:038',1,4,4,0.09,1,0.14
192,'2018/02/15 22:47:20:054',1,2,2,0.09,1,0.14
193,'2018/02/15 22:47:20:071',1,5,5,0.09,1,0.14
194,'2018/02/15 22:47:20:090',1,2,2,0.09,1,0.14
195,'2018/02/15 22:47:20:106',1,3,3,0.09,1,0.14
196,'2018/02/15 22:47:20:122',1,4,4,0.09,1,0.14
197,'2018/02/15 22:47:20:139',1,1,1,0.09,1,0.14
198,'2018/02/15 22:47:20:157',1,1,1,0.09,1,0.14
199,'2018/02/15 22:47:20:174',1,3,3,0.09,1,0.14
200,'2018/02/15 22:47:20:205',1,2,2,0.09,1,0.14
201,'2018/02/15 22:47:20:224',1,2,2,0.09,1,0.14
202,'2018/02/15 22:47:20:241',1,2,2,0.09,1,0.14
203,'2018/02/15 22:47:20:257',1,0,0,0.09,1,0.14
204,'2018/02/15 22:47:20:275',1,3,3,0.09,1,0.14
205,'2018/02/15 22:47:20:292',1,0,0,0.09,1,0.14
206,'2018/02/15 22:47:20:308',1,2,2,0.09,1,0.14
207,'2018/02/15 22:47:20:324',1,1,1,0.09,1,0.14
208,'2018/02/15 22:47:20:340',1,0,0,0.09,1,0.14
209,'2018/02/15 22:47:20:359',1,2,2,0.09,1,0.14
210,'2018/02/15 22:47:20:375',1,3,3,0.09,1,0.14
211,'2018/02/15 22:47:20:392',1,1,1,0.09,1,0.14
212,'2018/02/15 22:47:20:407',1,2,2,0.09,1,0.14
213,'2018/02/15 22:47:20:424',1,1,1,0.09,1,0.14
214,'2018/02/15 22:47:20:441',1,3,3,0.09,1,0.14
215,'2018/02/15 22:47:20:458',1,4,4,0.09,1,0.14
216,'2018/02/15 22:47:20:474',1,5,5,0.09,1,0.14
217,'2018/02/15 22:47:20:490',1,2,2,0.09,1,0.14
218,'2018/02/15 22:47:20:507',1,1,1,0.09,1,0.14
219,'2018/02/15 22:47:20:524',1,3,3,0.09,1,0.14
220,'2018/02/15 22:47:20:540',1,2,2,0.09,1,0.14
221,'2018/02/15 22:47:20:557',1,1,1,0.09,1,0.14
222,'2018/02/15 22:47:20:574',1,2,2,0.09,1,0.14
223,'2018/02/15 22:47:20:592',1,3,3,0.09,1,0.14
224,'2018/02/15 22:47:20:608',1,2,2,0.09,1,0.14
225,'2018/02/15 22:47:20:624',1,1,1,0.09,1,0.14
226,'2018/02/15 22:47:20:640',1,4,4,0.09,1,0.14
227,'2018/02/15 22:47:20:659',1,4,4,0.09,1,0.14
228,'2018/02/15 22:47:20:675',1,1,1,0.09,1,0.14
229,'2018/02/15 22:47:20:692',1,2,2,0.09,1,0.14
230,'2018/02/15 22:47:20:707',1,4,4,0.09,1,0.14
231,'2018/02/15 22:47:20:725',1,2,2,0.09,1,0.14
232,'2018/02/15 22:47:20:741',1,3,3,0.09,1,0.14
233,'2018/02/15 22:47:20:761',1,1,1,0.09,1,0.14
234,'2018/02/15 22:47:20:785',1,2,2,0.09,1,0.14
235,'2018/02/15 22:47:20:802',1,0,0,0.09,1,0.14
236,'2018/02/15 22:47:20:821',1,2,2,0.09,1,0.14
237,'2018/02/15 22:47:20:836',1,3,3,0.09,1,0.14
238,'2018/02/15 22:47:20:868',1,1,1,0.09,1,0.14
239,'2018/02/15 22:47:20:888',1,3,3,0.09,1,0.14
240,'2018/02/15 22:47:20:905',1,1,1,0.09,1,0.14
